Emissions overhead bench — medium / cpu (grid=288x144x32, steps=40)
dtype      scheme     Nt   NE    no-em(ms)       em(ms)        Δ(ms)         Δ%
--------------------------------------------------------------------------------------------
Float64    upwind      5    1      355.106      346.720       -8.386     -2.36%
Float64    upwind      5    3      338.613      344.084        5.471      1.62%
Float64    upwind     10    3      624.945      622.664       -2.281     -0.36%
Float64    upwind     30    5     1694.698     1688.283       -6.415     -0.38%
Float64    slopes      5    1     2389.311     2380.644       -8.667     -0.36%
Float64    slopes      5    3     2378.653     2378.340       -0.313     -0.01%
Float64    slopes     10    3     4851.353     4859.606        8.252      0.17%
Float64    slopes     30    5    15851.164    15848.542       -2.622     -0.02%
Float32    upwind      5    1      310.285      310.303        0.018      0.01%
Float32    upwind      5    3      309.995      311.167        1.172      0.38%
Float32    upwind     10    3      514.384      520.840        6.456      1.26%
Float32    upwind     30    5     1554.222     1544.484       -9.737     -0.63%
Float32    slopes      5    1     2304.672     2297.828       -6.844     -0.30%
Float32    slopes      5    3     2298.302     2297.508       -0.793     -0.03%
Float32    slopes     10    3     4672.489     4669.401       -3.088     -0.07%
Float32    slopes     30    5    14307.952    14315.121        7.169      0.05%
