Emissions overhead bench — small / cpu (grid=72x36x4, steps=50)
dtype      scheme     Nt   NE    no-em(ms)       em(ms)        Δ(ms)         Δ%
--------------------------------------------------------------------------------------------
Float64    upwind      5    1        2.685        2.691        0.006      0.22%
Float64    upwind      5    3        2.570        2.592        0.022      0.86%
Float64    upwind     10    3        4.275        4.279        0.004      0.09%
Float64    upwind     30    5       10.868       10.931        0.062      0.57%
Float64    slopes      5    1       18.415       18.420        0.005      0.03%
Float64    slopes      5    3       18.446       18.540        0.095      0.51%
Float64    slopes     10    3       36.485       36.499        0.014      0.04%
Float64    slopes     30    5      113.980      113.901       -0.079     -0.07%
Float32    upwind      5    1        2.527        2.535        0.007      0.29%
Float32    upwind      5    3        2.526        2.531        0.005      0.20%
Float32    upwind     10    3        3.946        3.980        0.034      0.86%
Float32    upwind     30    5       10.170       10.226        0.056      0.55%
Float32    slopes      5    1       17.936       17.913       -0.023     -0.13%
Float32    slopes      5    3       17.907       17.910        0.003      0.02%
Float32    slopes     10    3       35.355       35.356        0.000      0.00%
Float32    slopes     30    5      106.656      106.643       -0.013     -0.01%
