time_hours,tracer,cs_mass_drift_pct,cs_col_mean_dry_vmr,ll_col_mean_dry_vmr,col_diff_rmse,col_diff_max_abs,cs_gpu_verified,ll_gpu_verified
0.00,co2_natural,0.000000e+00,4.042895e-04,4.037072e-04,1.409076e-06,1.940383e-05,false,false
0.00,co2_fossil,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
6.00,co2_natural,1.191193e-06,4.042905e-04,4.037085e-04,1.390957e-06,1.843756e-05,false,false
6.00,co2_fossil,1.191193e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
12.00,co2_natural,-5.286221e-07,4.042925e-04,4.037091e-04,1.399269e-06,1.907209e-05,false,false
12.00,co2_fossil,-5.286221e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
18.00,co2_natural,6.242667e-06,4.042950e-04,4.037093e-04,1.412274e-06,1.874463e-05,false,false
18.00,co2_fossil,6.242667e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
24.00,co2_natural,1.009950e-05,4.042977e-04,4.037092e-04,1.433680e-06,1.770451e-05,false,false
24.00,co2_fossil,1.009950e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
30.00,co2_natural,-2.021841e-05,4.043011e-04,4.037089e-04,1.554448e-06,1.699562e-05,false,false
30.00,co2_fossil,-2.021841e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
36.00,co2_natural,-5.593256e-07,4.043047e-04,4.037082e-04,2.131194e-06,4.475145e-05,false,false
36.00,co2_fossil,-5.593256e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
42.00,co2_natural,-8.535980e-06,4.043084e-04,4.037077e-04,2.867642e-06,5.981420e-05,false,false
42.00,co2_fossil,-8.535980e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
48.00,co2_natural,-4.638399e-06,4.043119e-04,4.037078e-04,4.189925e-06,7.144170e-05,false,false
48.00,co2_fossil,-4.638399e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
54.00,co2_natural,2.136726e-06,4.043157e-04,4.037077e-04,5.399539e-06,6.099913e-05,false,false
54.00,co2_fossil,2.136726e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
60.00,co2_natural,1.577732e-06,4.043192e-04,4.037068e-04,7.063821e-06,1.187189e-04,false,false
60.00,co2_fossil,1.577732e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
66.00,co2_natural,-6.700625e-07,4.043225e-04,4.037085e-04,8.759009e-06,9.412301e-05,false,false
66.00,co2_fossil,-6.700625e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
72.00,co2_natural,2.146646e-06,4.043253e-04,4.037035e-04,1.081105e-05,1.493704e-04,false,false
72.00,co2_fossil,2.146646e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,false,false
